Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std
Bike_Sharing_Demand,Identity-MLP,0.4584135523195359,0.07460117830931902,2284.3518296462016,481.91326035128117,1295.9299939094622,64.80132679373128,0.6775499999751234,0.014143236443337735
Bike_Sharing_Demand,NoAct-MLP,0.4412101298598353,0.0753049445296141,2321.8836367070003,495.39124594022644,1315.402979415024,61.20514715886034,0.6752856175086098,0.010976438369614414
Bike_Sharing_Demand,IdentityNoAct-MLP,0.45625924194203965,0.07009049473556143,2289.6774364665266,482.5848994080089,1308.483232189083,57.06571590319833,0.6746492604621742,0.012536852698466347
Bike_Sharing_Demand,RW-MLP,0.4406057818108011,0.08710946485654014,2324.4751406575897,520.8934639321338,1320.5696173345116,74.19927642181824,0.6689245443164978,0.015059845155653943
abalone,MLP,0.9979808164084483,0.0014835693154424546,440.22956874034554,711.6193384629842,143.248483012156,38.31561915186609,0.9985570183990294,0.0012582836202483971
abalone,Linear-MLP,0.996992780694228,0.0038636778134058204,284.07822551584024,242.41871851896735,126.47982990733308,57.82529014629363,0.9980301258950013,0.0024162472915464166
abalone,Identity-MLP,0.9992914190285603,0.0005200160496040267,162.62488044662183,96.8150745716434,88.23835564525032,30.32634261381597,0.9988224542999735,0.0006215435697252837
abalone,NoAct-MLP,0.9991347020291764,0.0008817864395843634,155.23687689979778,69.23522754363479,96.80344547542154,37.359144920305404,0.9992023919201445,0.0007811069081446356
abalone,IdentityNoAct-MLP,0.9988671568554525,0.001116993627337268,231.5615457670699,239.84829011775176,111.91833903982024,44.513749278954954,0.9989883740035139,0.0013950102302867533
abalone,RW-MLP,0.9994016989626198,0.00031175744831643933,205.93860228191383,266.07563940921733,84.58986325985,23.92110593234503,0.9996818519651047,0.00011648570723813097
us_crime,MLP,0.5841890935465021,0.022873443329013733,2.0877229171597147,0.1376443873998216,1.4588167927801214,0.07325705248209025,0.7878876202166109,0.019248516310141402
us_crime,Linear-MLP,0.572552394285696,0.02348071960091856,2.1168234344830856,0.14159761816974442,1.4749886945898294,0.0723730400502142,0.7807327764016084,0.018789158867951915
us_crime,Identity-MLP,0.5553443057969778,0.04506796136594223,2.1578984672277546,0.17857537015969158,1.495423686850231,0.0819755112465907,0.7771873658974002,0.021139417811949685
us_crime,NoAct-MLP,0.5812769399392292,0.02287362289621588,2.094805636678372,0.13473507779679522,1.4644579655191499,0.07400388671400342,0.7857257934597168,0.017449180635241045
us_crime,IdentityNoAct-MLP,0.5880094762500534,0.024499740858380435,2.07774855783575,0.13547725430223523,1.4556361407506724,0.07224951836460997,0.7873554624801977,0.018525964876061427
us_crime,RW-MLP,0.5862586153470446,0.024936347504431817,2.082342802080203,0.1394748416899262,1.4572258345464615,0.06725572661105766,0.7866596887691935,0.01946890257546566
nyc-taxi-green-dec-2016,MLP,0.015400613490826009,0.009104901598659444,28.150715831241275,3.2722048885185413,13.87258724997202,0.832942686809651,0.1634352578055741,0.033499740803984324
nyc-taxi-green-dec-2016,Linear-MLP,0.016678294997395114,0.009128721749747352,28.12666840315135,3.2178602329417645,13.91334637853024,0.8147593153695282,0.1601901492491913,0.0305609076899004
nyc-taxi-green-dec-2016,Identity-MLP,0.015881969825701992,0.00997079864183059,28.135219939075448,3.191033215632119,13.924552819764173,1.0122374540237231,0.13872051551420234,0.029183957824604017
nyc-taxi-green-dec-2016,NoAct-MLP,0.01802456743544273,0.008104440518765682,28.1109660781491,3.2425789385247366,13.92287591631315,0.80135517918896,0.16460482519501152,0.03096051089153669
nyc-taxi-green-dec-2016,IdentityNoAct-MLP,0.01317610611271205,0.012651869060111383,28.18368004359642,3.2946431149949205,13.97577107537063,0.7662906667148977,0.1628024477181426,0.030385540713476107
nyc-taxi-green-dec-2016,RW-MLP,0.015394267132469375,0.010051187170663787,28.14540994254392,3.22333100367355,13.981909739221873,0.7589972248879335,0.16933967886261697,0.028663040524873087
yprop_4_1,MLP,0.7916576935319697,0.06618050027651293,0.12462772374946747,0.024344681246768432,0.08963147341464191,0.016696205334275387,0.8903076624094576,0.030616620445623924
yprop_4_1,Linear-MLP,0.7710221383066405,0.055210980056960894,0.13127182507897647,0.018848837960529274,0.09360991645862653,0.01113155755472779,0.8589557039598482,0.03169554344573567
yprop_4_1,Identity-MLP,0.7924626775793644,0.06174951667310527,0.1250205076472366,0.024618260763353036,0.09128935106218244,0.01882733481983696,0.8856361982914824,0.04750697377780316
yprop_4_1,NoAct-MLP,0.7472432199618633,0.06167800741699648,0.13803707013349636,0.02201089681911462,0.10417585250026207,0.02018835875716143,0.8751784866895977,0.04186031621269972
yprop_4_1,IdentityNoAct-MLP,0.7928091580924539,0.06496123518840943,0.12363423634093525,0.023577271762843452,0.0885140557052118,0.017381946471243772,0.8938817380253916,0.0315664073197982
yprop_4_1,RW-MLP,0.7924175443521237,0.05472017827772288,0.12387164116905929,0.019416308387034682,0.0917769618793911,0.015225452495893703,0.8770958913744483,0.04495541826382301
analcatdata_supreme,MLP,0.8707900760530295,0.023662679245800105,137451.20572649836,14210.669516480377,77223.17821449385,4610.922086606086,0.9373112715138603,0.005544004712668173
